10.01972, 1.58736
10.24794, 1.40584
10.47073, 1.25126
10.66370, 1.11636
10.89881, 0.96592
11.14449, 0.82602
11.41478, 0.68886
11.69738, 0.55880
12.00461, 0.43529
12.34176, 0.32756
12.62419, 0.26523
12.89472, 0.22413
13.20962, 0.21597
13.52129, 0.22617
13.85351, 0.25386
14.16521, 0.27718
14.54251, 0.29466
14.84842, 0.29845
15.12890, 0.29583
15.42901, 0.27659
15.74386, 0.24949
16.02056, 0.21233
16.35166, 0.14706
16.61687, 0.08554
16.91724, 0.02902
17.18028, 0.08336
17.42904, 0.18500
17.70878, 0.31194
17.98329, 0.45059
18.22969, 0.59486
18.45149, 0.73968
18.66100, 0.88778
18.87052, 1.04350
19.04311, 1.18444
19.21572, 1.33870
19.37604, 1.49279
19.49933, 1.60039
19.62268, 1.73227
19.77070, 1.88893
19.96768, 2.10167
