FGHz,S11dB,S11deg,S21dB,S21deg
4.25,-0.0031558898720751376,47.822194681257095,-31.38820256576116,-42.17780531874295
4.3,-0.0033374640455259698,45.9833713708982,-31.14534578069485,-44.01662862910181
4.35,-0.0035296763397316697,44.13640701439146,-30.902258993951698,-45.8635929856086
4.4,-0.003733190294389049,42.281318962041254,-30.658908293725627,-47.718681037958845
4.45,-0.003948715226978031,40.418127246970855,-30.41525917639557,-49.58187275302904
4.5,-0.004177009886761656,38.54685434406875,-30.171276418372482,-51.453145655931266
4.55,-0.004418886453049012,36.66752490119825,-29.926923947404127,-53.33247509880169
4.6,-0.004675214915022728,34.7801654411677,-29.682164713189824,-55.21983455883229
4.65,-0.00494692787504599,32.8848040328755,-29.436960557086813,-57.1151959671245
4.7,-0.005235025822292325,30.98146992998855,-29.19127208077109,-59.018530070011394
4.75,-0.005540582929488167,29.070193175425093,-28.945058513672702,-60.929806824574946
4.8,-0.005864753431952496,27.151004169819497,-28.698277579004774,-62.848995830180534
4.85,-0.0062087786556564595,25.223933202048748,-28.45088535822203,-64.77606679795123
4.9,-0.006573994769417721,23.289009939780307,-28.202836153754,-66.71099006021971
4.95,-0.006961841346044346,21.34626287785895,-27.954082349782855,-68.65373712214105
5.0,-0.007373870828209923,19.39571874219675,-27.704574270923487,-70.6042812578033
5.05,-0.007811759007413471,17.437401846648104,-27.454260038566023,-72.56259815335189
5.1,-0.008277316638807156,15.471333400152602,-27.203085424690016,-74.52866659984738
5.15,-0.008772502331150636,13.4975307611664,-26.950993702897435,-76.50246923883364
5.2,-0.009299436870160866,11.516006636147393,-26.697925496407784,-78.48399336385259
5.25,-0.009860419155244694,9.52676821853813,-26.443818622769776,-80.47323178146182
5.3,-0.010457943954880236,7.529816264303556,-26.188607934945843,-82.4701837356965
5.35,-0.011094721714836851,5.5251440996948,-25.93222515847092,-84.47485590030517
5.4,-0.011773700687009704,3.5127365563881146,-25.674598724319093,-86.48726344361191
5.45,-0.012498091685631662,1.4925688286315348,-25.41565359708116,-88.50743117136848
5.5,-0.013271395822659994,-0.5353947536504852,-25.155311098040222,-90.53539475365046
5.55,-0.014097435626891214,-2.57120204252031,-24.89348872264507,-92.57120204252034
5.6,-0.01498039001228088,-4.614914488081235,-24.630099951934007,-94.61491448808124
5.65,-0.015924833632842948,-6.666608661457055,-24.365054057302096,-96.66660866145708
5.7,-0.016935781244960556,-8.726377894359752,-24.09825589804241,-98.72637789435977
5.75,-0.01801873779604774,-10.79433404615812,-23.829605711057877,-100.79433404615813
5.8,-0.019179755074277494,-12.870609410827903,-23.558998891988168,-102.87060941082792
5.85,-0.02042549588931398,-14.95535877776625,-23.286325767129327,-104.95535877776626
5.9,-0.021763306915377506,-17.048761662445152,-23.011471355242815,-107.04876166244519
5.95,-0.023201301516654078,-19.151024724977802,-22.73431511860145,-109.15102472497783
6.0,-0.024748454101335637,-21.26238439722365,-22.454730702310435,-111.26238439722368
6.05,-0.026414707817571208,-23.383109741940704,-22.172585661110418,-113.3831097419407
6.1,-0.028211097724082576,-25.51350557081155,-21.887741172763775,-115.51350557081153
6.15,-0.030149891949390994,-27.653915851972748,-21.60005173716253,-117.65391585197276
6.2,-0.032244753809045575,-29.804727442239148,-21.30936486052014,-119.80472744223917
6.25,-0.03451092840973781,-31.966374183454704,-21.015520722619723,-121.96637418345469
6.3,-0.03696545789498426,-34.13934141100876,-20.718351829964664,-124.13934141100876
6.35,-0.03962743035288516,-36.32417092420764,-20.417682648736264,-126.32417092420765
6.4,-0.04251826829316678,-38.52146648227985,-20.11332922258463,-128.52146648227983
6.45,-0.04566206383782429,-40.731899894202755,-19.80509877223805,-130.7318998942028
6.5,-0.04908596917207747,-42.9562177834515,-19.49278927836016,-132.95621778345148
6.55,-0.05282065256102764,-45.19524912053361,-19.176189048574148,-135.19524912053362
6.6,-0.056900832382543114,-47.4499136306563,-18.85507627051446,-137.44991363065628
6.65,-0.061365904266797715,-49.72123120061375,-18.529218553818577,-139.72123120061377
6.7,-0.06626067969069012,-52.01033242856065,-18.198372465359494,-142.01033242856064
6.75,-0.07163625840853845,-54.3184704830488,-17.862283063855468,-144.31847048304883
6.8,-0.07755106211025231,-56.647034464243205,-17.52068344241811,-146.6470344642432
6.85,-0.08407206294343787,-58.997564491066946,-17.173294290696496,-148.99756449106692
6.9,-0.09127624834485831,-61.371768773802906,-16.81982349243698,-151.37176877380293
6.95,-0.0992523734284049,-63.77154297321291,-16.459965779571554,-153.77154297321292
7.0,-0.10810306451760515,-66.1989921950518,-16.09340247096503,-156.19899219505177
7.05,-0.11794735300499179,-68.65645602377604,-15.71980133300671,-158.65645602377603
7.1,-0.12892373848864183,-71.14653706169469,-15.338816611109145,-161.1465370616947
7.15,-0.14119390527964432,-73.67213351003825,-14.950089296595667,-163.67213351003826
7.2,-0.15494724845171715,-76.2364764060704,-14.553247713615583,-166.2364764060704
7.25,-0.17040640665017903,-78.8431722140623,-14.147908536974551,-168.84317221406232
7.3,-0.18783405153707425,-81.49625155468121,-13.73367838602051,-171.4962515546812
7.35,-0.20754125146578986,-84.20022494142295,-13.31015618432727,-174.20022494142293
7.4,-0.2298978142122959,-86.96014646415941,-12.876936533001885,-176.96014646415938
7.45,-0.25534512610002824,-89.78168640208585,-12.433614420834132,-179.78168640208585
7.5,-0.2844121500067144,-92.6712137344552,-11.979791692108732,177.3287862655448
7.55,-0.3177354318493384,-95.63588940501874,-11.515085818521069,174.36411059498127
7.6,-0.3560842057645533,-98.68377091906706,-11.039141682090264,171.31622908093297
7.65,-0.4003919962773861,-101.82392830958766,-10.551647278482552,168.17607169041236
7.7,-0.4517965073485907,-105.06657054978956,-10.052354501367597,164.93342945021047
7.75,-0.5116900804375089,-108.42317988930387,-9.541106471917763,161.57682011069616
7.8,-0.5817836122116915,-111.90664902786102,-9.017873229234871,158.093350972139
7.85,-0.6641875561421394,-115.53141206131359,-8.482797977067825,154.4685879386864
7.9,-0.7615144835642613,-119.31355413397954,-7.936256439223132,150.68644586602048
7.95,-0.8770086100378792,-123.27087595468292,-7.378932104378184,146.7291240453171
8.0,-1.0147086088553257,-127.42287694890952,-6.811910045637286,142.5771230510905
8.05,-1.17965076196648,-131.790604164463,-6.236791242498611,138.209395835537
8.1,-1.3781197690909528,-136.39629317122203,-5.655827377295778,133.603706828778
8.15,-1.6179540175788654,-141.26270394089,-5.07207214959919,128.73729605911004
8.2,-1.9089106041699413,-146.4120345145425,-4.4895382851646835,123.58796548545752
8.25,-2.2630933554283863,-151.8642897651035,-3.9133387237558726,118.1357102348965
8.3,-2.695446880407441,-157.6350118749775,-3.349775844697821,112.3649881250225
8.35,-3.2243280268962824,-163.7323715262355,-2.806326024772805,106.26762847376452
8.4,-3.872198366827851,-170.153802112501,-2.2914542177460193,99.84619788749902
8.45,-4.666568523436332,-176.88263816648998,-1.8141955781245664,93.11736183351002
8.5,-5.64152655623381,176.11446182898402,-1.3834724709799406,86.11446182898402
8.55,-6.840617469058694,168.8883143501705,-1.0071843587332894,78.88831435017052
8.6,-8.322795350131237,161.50533800591452,-0.6912047926881939,71.50533800591452
8.65,-10.175503252832517,154.0426772708305,-0.43850523390373547,64.0426772708305
8.7,-12.545789746442432,146.58091954191352,-0.24864414144778063,56.580919541913495
8.75,-15.725972098742204,139.19589791282502,-0.11777759249489116,49.195897912825004
8.8,-20.46575209723935,131.9514380195105,-0.03918926255839757,41.95143801951049
8.85,-30.1676736368185,124.89452021047651,-0.004180478120148444,34.89452021047649
8.9,-31.491191040442157,-61.94657604260807,-0.0030819053263466995,28.05342395739199
8.95,-22.212888990720174,-68.561500874016,-0.02616997174516331,21.43849912598402
9.0,-18.323958851723013,-74.95533921869797,-0.064357972063473,15.044660781302033
9.05,-16.033307346456535,-81.145383658066,-0.10962849980743074,8.854616341934006
9.1,-14.545130345609735,-87.1579451192205,-0.15524237336785757,2.842054880779498
9.15,-13.55746284210323,-93.02564967475952,-0.19579011231133925,-3.025649674759512
9.2,-12.927712811504549,-98.78538871408047,-0.22715444993159828,-8.785388714080476
9.25,-12.58336247760299,-104.47690187644001,-0.24644034880878515,-14.47690187644
9.3,-12.490680773362739,-110.14187005554803,-0.2519132516837028,-20.141870055548004
9.35,-12.643194046454418,-115.82334940631098,-0.24297236849655357,-25.823349406311003
9.4,-13.059783739432035,-121.56535625494352,-0.22017509047088132,-31.56535625494351
9.45,-13.790948712819,-127.41239539240752,-0.18532008695997376,-37.41239539240752
9.5,-14.938183883806737,-133.408699360566,-0.14158788151337104,-43.408699360565976
9.55,-16.706042106796556,-139.596914976668,-0.09372553966072489,-49.596914976668
9.6,-19.567591183599887,-146.01595243520597,-0.04824308973857715,-56.015952435206
9.65,-25.06169907178027,-152.69774163504195,-0.01356101756731442,-62.69774163504197
9.7,-55.49228484127014,20.33721318882242,-1.2261862457228549e-5,-69.66278681117802
9.75,-23.47182676933706,13.085244981770975,-0.019569500557938643,-76.91475501822902
9.8,-17.11777110851546,5.56508343405751,-0.08516447343414689,-84.4349165659425
