10.01637, 1.56977
10.16591, 1.41939
10.36315, 1.26019
10.55460, 1.11181
10.80696, 0.92633
11.20726, 0.69912
11.45382, 0.56001
11.78160, 0.42090
12.09053, 0.32121
12.57350, 0.23543
12.76494, 0.21688
12.90507, 0.21366
13.23486, 0.22615
13.42631, 0.24470
13.61775, 0.26325
13.96584, 0.27948
14.20950, 0.28671
14.45172, 0.28779
14.69682, 0.28180
14.88826, 0.27744
15.16673, 0.25342
15.35818, 0.24470
15.54963, 0.22615
15.84550, 0.18906
16.03695, 0.17051
16.30115, 0.16134
16.50686, 0.17051
16.87235, 0.23598
16.97678, 0.26706
17.26685, 0.36217
17.48150, 0.44100
17.92531, 0.63652
18.46049, 0.93560
18.64758, 1.03298
18.82877, 1.16281
19.28284, 1.48740
19.45978, 1.61568
19.55261, 1.70533
19.98363, 2.06686
