Freq (GHz),s11dB,s11phs,s21db,s21phs
2.672,-1.15719E-14,95.93163697,-39.48412054,0.455277911
2.691,3.85731E-15,95.29514002,-39.39269411,-0.113411113
2.71,3.66444E-14,94.65822328,-39.30150992,-0.681895197
2.729,1.54292E-14,94.02090346,-39.21056344,-1.250202684
2.748,3.66444E-14,93.38319705,-39.11985017,-1.818361273
2.767,5.78596E-15,92.74512025,-39.02936563,-2.386398031
2.786,-3.47158E-14,92.10668901,-38.93910538,-2.954339416
2.805,0,91.467919,-38.849065,-3.522211287
2.824,3.85731E-15,90.82882561,-38.75924009,-4.090038929
2.843,7.71462E-15,90.18942395,-38.6696263,-4.657847063
2.862,-1.92865E-14,89.54972883,-38.58021929,-5.225659861
2.881,-3.37515E-14,88.90975478,-38.49101474,-5.793500964
2.9,-1.15719E-14,88.26951603,-38.40200836,-6.361393496
2.919,-4.24304E-14,87.6290265,-38.31319589,-6.929360077
2.938,1.92865E-15,86.98829981,-38.22457309,-7.497422834
2.957,-4.24304E-14,86.34734927,-38.13613574,-8.065603419
2.976,-2.70012E-14,85.70618788,-38.04787965,-8.63392302
2.995,-1.83222E-14,85.0648283,-37.95980064,-9.202402369
3.014,1.15719E-14,84.42328291,-37.87189456,-9.771061761
3.033,-7.71462E-15,83.78156373,-37.78415729,-10.33992106
3.052,2.89298E-14,83.13968248,-37.69658469,-10.90899971
3.071,1.92865E-14,82.49765053,-37.6091727,-11.47831676
3.09,2.31439E-14,81.85547895,-37.52191723,-12.04789085
3.109,3.85731E-14,81.21317846,-37.43481423,-12.61774022
3.128,-2.12152E-14,80.57075943,-37.34785966,-13.18788277
3.147,2.31439E-14,79.92823193,-37.2610495,-13.75833601
3.166,0,79.28560567,-37.17437976,-14.32911709
3.185,2.89298E-14,78.64289004,-37.08784644,-14.90024282
3.204,0,78.00009407,-37.00144556,-15.47172967
3.223,0,77.35722647,-36.91517319,-16.04359377
3.242,3.85731E-15,76.7142956,-36.82902536,-16.61585094
3.261,0,76.07130948,-36.74299816,-17.18851666
3.28,-3.37515E-14,75.4282758,-36.65708766,-17.76160615
3.299,-2.12152E-14,74.78520191,-36.57128997,-18.33513427
